SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
ALPHAINFRA,EQ,114.26,115.64,113.33,114.7,114.7,113.11,220726,25285634.81,28-FEB-2024,1233,INE37018701011
ALPHAINFRA,EQ,111.54,112.19,110.96,111.61,111.61,114.7,350989,39165692.55,29-FEB-2024,1956,INE37018701011
ALPHAINFRA,EQ,114.48,115.46,112.69,113.66,113.66,111.61,223929,25513723.83,01-MAR-2024,1251,INE37018701011
ALPHAINFRA,EQ,113.86,114.93,112.42,113.49,113.49,113.66,796154,90453709.79,04-MAR-2024,4430,INE37018701011
ALPHAINFRA,EQ,111.09,113.28,109.18,111.36,111.36,113.49,350607,39013209.58,05-MAR-2024,1954,INE37018701011
ALPHAINFRA,EQ,106.75,108.94,105.48,107.66,107.66,111.36,346376,37186927.36,06-MAR-2024,1931,INE37018701011
ALPHAINFRA,EQ,108.74,109.71,108.08,109.05,109.05,107.66,282702,30799440.56,07-MAR-2024,1577,INE37018701011
ALPHAINFRA,EQ,108.91,110.29,108.15,109.53,109.53,109.05,301264,32935184.69,08-MAR-2024,1680,INE37018701011
ALPHAINFRA,EQ,109.81,111.57,108.05,109.82,109.82,109.53,156994,17240034.45,11-MAR-2024,879,INE37018701011
ALPHAINFRA,EQ,108.21,108.66,107.68,108.12,108.12,109.82,174349,18856425.51,12-MAR-2024,975,INE37018701011
ALPHAINFRA,EQ,106.71,108.55,105.95,107.79,107.79,108.12,307397,33023659.71,13-MAR-2024,1714,INE37018701011
ALPHAINFRA,EQ,107.69,109.98,104.63,106.9,106.9,107.79,300101,32161824.17,14-MAR-2024,1674,INE37018701011
ALPHAINFRA,EQ,109.75,110.42,108.88,109.55,109.55,106.9,112597,12342507.82,15-MAR-2024,632,INE37018701011
ALPHAINFRA,EQ,108.59,109.87,107.86,109.14,109.14,109.55,296858,32344658.15,18-MAR-2024,1656,INE37018701011
ALPHAINFRA,EQ,110.93,111.75,110.38,111.2,111.2,109.14,533737,59303518.07,19-MAR-2024,2972,INE37018701011
ALPHAINFRA,EQ,111.38,112.06,110.4,111.08,111.08,111.2,63569,7067601.42,20-MAR-2024,360,INE37018701011
ALPHAINFRA,EQ,111.01,111.59,110.22,110.81,110.81,111.08,643163,71309625.69,21-MAR-2024,3580,INE37018701011
ALPHAINFRA,EQ,109.97,110.8,109.23,110.07,110.07,110.81,187246,20603301.53,22-MAR-2024,1047,INE37018701011
ALPHAINFRA,EQ,108.91,110.46,107.93,109.49,109.49,110.07,337099,36842673.37,25-MAR-2024,1879,INE37018701011
ALPHAINFRA,EQ,112.01,112.9,111.56,112.46,112.46,109.49,245663,27589592.65,26-MAR-2024,1371,INE37018701011
ALPHAINFRA,EQ,113.71,116.21,111.61,114.1,114.1,112.46,424200,48347488.0,27-MAR-2024,2363,INE37018701011
ALPHAINFRA,EQ,114.68,116.71,112.52,114.55,114.55,114.1,80811,9260401.86,28-MAR-2024,455,INE37018701011
ALPHAINFRA,EQ,115.21,117.06,113.7,115.55,115.55,114.55,95156,10984491.45,29-MAR-2024,535,INE37018701011
ALPHAINFRA,EQ,115.81,116.76,115.27,116.22,116.22,115.55,270942,31451850.5,01-APR-2024,1512,INE37018701011
ALPHAINFRA,EQ,116.77,117.77,115.56,116.56,116.56,116.22,421598,49170974.74,02-APR-2024,2349,INE37018701011
ALPHAINFRA,EQ,118.15,119.0,117.35,118.2,118.2,116.56,266785,31529540.58,03-APR-2024,1489,INE37018701011
ALPHAINFRA,EQ,117.96,118.61,117.25,117.9,117.9,118.2,238395,28111538.4,04-APR-2024,1331,INE37018701011
ALPHAINFRA,EQ,120.5,121.16,119.45,120.11,120.11,117.9,323070,38845936.8,05-APR-2024,1801,INE37018701011
ALPHAINFRA,EQ,118.96,119.57,118.64,119.25,119.25,120.11,383435,45687558.37,08-APR-2024,2137,INE37018701011
ALPHAINFRA,EQ,122.2,123.37,120.82,121.99,121.99,119.25,147586,18014347.16,09-APR-2024,826,INE37018701011
ALPHAINFRA,EQ,123.9,127.02,120.83,123.94,123.94,121.99,1422857,176334668.01,10-APR-2024,7911,INE37018701011
ALPHAINFRA,EQ,120.27,121.1,119.31,120.14,120.14,123.94,244814,29422562.57,11-APR-2024,1367,INE37018701011
ALPHAINFRA,EQ,117.61,117.99,117.26,117.64,117.64,120.14,119204,14021966.52,12-APR-2024,669,INE37018701011
ALPHAINFRA,EQ,121.25,122.52,119.79,121.07,121.07,117.64,160890,19488069.4,15-APR-2024,900,INE37018701011
ALPHAINFRA,EQ,123.73,124.0,122.97,123.24,123.24,121.07,116706,14401909.42,16-APR-2024,655,INE37018701011
ALPHAINFRA,EQ,121.47,125.59,117.04,121.16,121.16,123.24,335250,40653532.5,17-APR-2024,1869,INE37018701011
ALPHAINFRA,EQ,123.48,124.44,122.39,123.35,123.35,121.16,176276,21751283.23,18-APR-2024,986,INE37018701011
ALPHAINFRA,EQ,124.59,124.99,123.67,124.08,124.08,123.35,185736,23077078.88,19-APR-2024,1038,INE37018701011
ALPHAINFRA,EQ,123.36,125.64,121.43,123.71,123.71,124.08,478425,59130140.5,22-APR-2024,2664,INE37018701011
ALPHAINFRA,EQ,123.15,124.02,122.3,123.17,123.17,123.71,304606,37516290.31,23-APR-2024,1699,INE37018701011
ALPHAINFRA,EQ,123.36,124.19,122.94,123.77,123.77,123.17,142322,17595743.27,24-APR-2024,797,INE37018701011
ALPHAINFRA,EQ,120.7,121.9,120.01,121.21,121.21,123.77,421054,50964376.16,25-APR-2024,2346,INE37018701011
ALPHAINFRA,EQ,119.69,122.31,117.73,120.34,120.34,121.21,146849,17640480.87,26-APR-2024,822,INE37018701011
ALPHAINFRA,EQ,119.69,121.29,118.41,120.01,120.01,120.34,126575,15176764.42,29-APR-2024,710,INE37018701011
ALPHAINFRA,EQ,120.37,120.71,119.57,119.92,119.92,120.01,176829,21231268.6,30-APR-2024,989,INE37018701011
ALPHAINFRA,EQ,118.45,119.4,118.09,119.04,119.04,119.92,216354,25712230.54,01-MAY-2024,1208,INE37018701011
ALPHAINFRA,EQ,116.62,117.05,115.62,116.04,116.04,119.04,263340,30609763.8,02-MAY-2024,1470,INE37018701011
ALPHAINFRA,EQ,114.97,115.98,114.2,115.21,115.21,116.04,157570,18141034.1,03-MAY-2024,882,INE37018701011
ALPHAINFRA,EQ,116.39,117.44,114.53,115.57,115.57,115.21,373420,43259462.27,06-MAY-2024,2081,INE37018701011
ALPHAINFRA,EQ,113.4,115.39,112.55,114.52,114.52,115.57,267556,30542409.25,07-MAY-2024,1493,INE37018701011
ALPHAINFRA,EQ,114.31,115.59,113.51,114.78,114.78,114.52,296981,34041942.09,08-MAY-2024,1656,INE37018701011
ALPHAINFRA,EQ,112.54,114.78,109.89,112.11,112.11,114.78,55419,6221336.94,09-MAY-2024,314,INE37018701011
ALPHAINFRA,EQ,110.83,111.69,110.24,111.1,111.1,112.11,675889,75030437.89,10-MAY-2024,3761,INE37018701011
ALPHAINFRA,EQ,110.75,113.32,107.82,110.39,110.39,111.1,240187,26543065.37,13-MAY-2024,1341,INE37018701011
ALPHAINFRA,EQ,110.18,110.76,109.48,110.06,110.06,110.39,138567,15256226.7,14-MAY-2024,776,INE37018701011
ALPHAINFRA,EQ,110.41,111.72,109.58,110.88,110.88,110.06,220885,24457859.77,15-MAY-2024,1234,INE37018701011
ALPHAINFRA,EQ,113.37,113.8,112.42,112.84,112.84,110.88,141984,16047031.68,16-MAY-2024,795,INE37018701011
ALPHAINFRA,EQ,113.38,116.93,110.49,114.03,114.03,112.84,189501,21568372.15,17-MAY-2024,1059,INE37018701011
ALPHAINFRA,EQ,111.87,114.73,109.65,112.5,112.5,114.03,227626,25560882.29,20-MAY-2024,1271,INE37018701011
ALPHAINFRA,EQ,113.91,114.77,113.47,114.32,114.32,112.5,237565,27126755.47,21-MAY-2024,1326,INE37018701011
ALPHAINFRA,EQ,114.89,116.44,114.07,115.62,115.62,114.32,548179,63247065.76,22-MAY-2024,3052,INE37018701011
ALPHAINFRA,EQ,113.73,114.8,112.9,113.96,113.96,115.62,199628,22734967.49,23-MAY-2024,1116,INE37018701011
ALPHAINFRA,EQ,115.54,116.61,114.28,115.36,115.36,113.96,115198,13295769.17,24-MAY-2024,646,INE37018701011
ALPHAINFRA,EQ,115.27,117.5,112.62,114.85,114.85,115.36,180988,20811810.12,27-MAY-2024,1012,INE37018701011
ALPHAINFRA,EQ,115.35,116.65,114.66,115.95,115.95,114.85,127532,14762254.11,28-MAY-2024,715,INE37018701011
ALPHAINFRA,EQ,114.02,115.24,113.69,114.9,114.9,115.95,233696,26783898.56,29-MAY-2024,1305,INE37018701011
ALPHAINFRA,EQ,118.13,119.19,116.83,117.89,117.89,114.9,167773,19792180.81,30-MAY-2024,939,INE37018701011
ALPHAINFRA,EQ,118.32,119.82,117.48,118.97,118.97,117.89,142212,16888623.08,31-MAY-2024,797,INE37018701011
ALPHAINFRA,EQ,120.37,120.92,120.06,120.61,120.61,118.97,176526,21276678.78,03-JUN-2024,987,INE37018701011
ALPHAINFRA,EQ,120.97,121.92,120.14,121.1,121.1,120.61,243993,29536165.96,04-JUN-2024,1362,INE37018701011
ALPHAINFRA,EQ,121.05,121.62,120.73,121.3,121.3,121.1,103612,12559501.27,05-JUN-2024,582,INE37018701011
ALPHAINFRA,EQ,119.94,122.36,118.13,120.54,120.54,121.3,194412,23396188.12,06-JUN-2024,1087,INE37018701011
ALPHAINFRA,EQ,121.75,122.58,120.37,121.19,121.19,120.54,197029,23915380.02,07-JUN-2024,1101,INE37018701011
ALPHAINFRA,EQ,117.26,119.06,115.57,117.38,117.38,121.19,230787,27079777.29,10-JUN-2024,1289,INE37018701011
ALPHAINFRA,EQ,119.02,119.8,118.36,119.13,119.13,117.38,357928,42628031.71,11-JUN-2024,1995,INE37018701011
ALPHAINFRA,EQ,117.88,121.28,114.2,117.59,117.59,119.13,453973,53428082.37,12-JUN-2024,2529,INE37018701011
ALPHAINFRA,EQ,119.3,119.91,118.98,119.59,119.59,117.59,287178,34315856.48,13-JUN-2024,1602,INE37018701011
ALPHAINFRA,EQ,123.94,124.51,123.01,123.58,123.58,119.59,177911,22007590.7,14-JUN-2024,995,INE37018701011
ALPHAINFRA,EQ,123.76,124.45,122.84,123.53,123.53,123.58,238110,29431983.4,17-JUN-2024,1329,INE37018701011
ALPHAINFRA,EQ,125.86,126.33,124.34,124.8,124.8,123.53,410529,51380441.21,18-JUN-2024,2287,INE37018701011
ALPHAINFRA,EQ,123.67,126.85,121.4,124.56,124.56,124.8,164471,20438811.17,19-JUN-2024,920,INE37018701011
ALPHAINFRA,EQ,127.6,128.9,126.33,127.63,127.63,124.56,78635,10035398.7,20-JUN-2024,443,INE37018701011
ALPHAINFRA,EQ,124.33,126.41,123.08,125.16,125.16,127.63,222540,27791537.0,21-JUN-2024,1243,INE37018701011
ALPHAINFRA,EQ,127.74,128.24,126.16,126.66,126.66,125.16,344086,43705803.72,24-JUN-2024,1918,INE37018701011
ALPHAINFRA,EQ,128.34,130.57,125.46,127.68,127.68,126.66,429124,54886390.01,25-JUN-2024,2391,INE37018701011
ALPHAINFRA,EQ,129.79,130.48,129.24,129.92,129.92,127.68,114829,14913990.52,26-JUN-2024,644,INE37018701011
ALPHAINFRA,EQ,128.15,130.4,125.64,127.89,127.89,129.92,133606,17098450.53,27-JUN-2024,749,INE37018701011
ALPHAINFRA,EQ,128.67,128.94,127.51,127.78,127.78,127.89,217286,27829266.59,28-JUN-2024,1214,INE37018701011
ALPHAINFRA,EQ,125.16,126.29,124.21,125.35,125.35,127.78,519389,65070785.22,01-JUL-2024,2892,INE37018701011
ALPHAINFRA,EQ,124.87,125.28,124.05,124.45,124.45,125.35,122544,15268165.44,02-JUL-2024,687,INE37018701011
ALPHAINFRA,EQ,123.89,125.28,122.37,123.75,123.75,124.45,153285,18976683.0,03-JUL-2024,858,INE37018701011
ALPHAINFRA,EQ,121.4,124.78,119.07,122.43,122.43,123.75,243341,29710313.83,04-JUL-2024,1358,INE37018701011
ALPHAINFRA,EQ,122.26,123.1,121.92,122.75,122.75,122.43,418472,51300482.48,05-JUL-2024,2331,INE37018701011
ALPHAINFRA,EQ,122.87,126.8,120.07,123.97,123.97,122.75,248972,30776258.83,08-JUL-2024,1390,INE37018701011
ALPHAINFRA,EQ,123.69,125.3,122.32,123.93,123.93,123.97,274613,34010820.05,09-JUL-2024,1532,INE37018701011
ALPHAINFRA,EQ,123.56,124.16,123.11,123.71,123.71,123.93,199570,24678826.2,10-JUL-2024,1115,INE37018701011
ALPHAINFRA,EQ,122.07,124.71,120.09,122.72,122.72,123.71,121126,14838742.51,11-JUL-2024,679,INE37018701011
ALPHAINFRA,EQ,119.8,121.1,118.71,120.01,120.01,122.72,595266,71396204.04,12-JUL-2024,3314,INE37018701011
ALPHAINFRA,EQ,117.47,118.49,116.62,117.63,117.63,120.01,136050,15996759.0,15-JUL-2024,762,INE37018701011
ALPHAINFRA,EQ,114.26,114.6,113.92,114.25,114.25,117.63,423792,48421061.28,16-JUL-2024,2361,INE37018701011
ALPHAINFRA,EQ,114.66,116.16,113.35,114.85,114.85,114.25,608802,69882352.24,17-JUL-2024,3389,INE37018701011
ALPHAINFRA,EQ,115.05,116.68,114.37,116.0,116.0,114.85,92329,10680926.48,18-JUL-2024,519,INE37018701011
ALPHAINFRA,EQ,115.18,115.89,114.53,115.24,115.24,116.0,192733,22206696.26,19-JUL-2024,1077,INE37018701011
ALPHAINFRA,EQ,114.73,117.02,112.39,114.68,114.68,115.24,210487,24142157.28,22-JUL-2024,1176,INE37018701011
ALPHAINFRA,EQ,115.81,116.96,114.56,115.71,115.71,114.68,115057,13317080.7,23-JUL-2024,646,INE37018701011
ALPHAINFRA,EQ,113.85,114.63,113.3,114.09,114.09,115.71,152318,17365267.45,24-JUL-2024,853,INE37018701011
ALPHAINFRA,EQ,112.6,113.26,112.17,112.82,112.82,114.09,285430,32182232.5,25-JUL-2024,1592,INE37018701011
ALPHAINFRA,EQ,107.35,109.23,105.42,107.3,107.3,112.82,147580,15837793.67,26-JUL-2024,826,INE37018701011
ALPHAINFRA,EQ,106.95,108.59,105.7,107.33,107.33,107.3,72810,7805717.4,29-JUL-2024,411,INE37018701011
ALPHAINFRA,EQ,103.17,103.91,102.62,103.36,103.36,107.33,219405,22663805.15,30-JUL-2024,1225,INE37018701011
ALPHAINFRA,EQ,106.21,107.09,105.44,106.32,106.32,103.36,289923,30813982.85,31-JUL-2024,1617,INE37018701011
ALPHAINFRA,EQ,108.29,109.94,106.52,108.17,108.17,106.32,152049,16453222.29,01-AUG-2024,851,INE37018701011
ALPHAINFRA,EQ,106.94,109.07,105.41,107.54,107.54,108.17,124455,13358999.7,02-AUG-2024,698,INE37018701011
ALPHAINFRA,EQ,108.76,110.04,107.38,108.66,108.66,107.54,384214,41761500.37,05-AUG-2024,2141,INE37018701011
ALPHAINFRA,EQ,109.05,110.74,106.73,108.41,108.41,108.66,216961,23567750.23,06-AUG-2024,1212,INE37018701011
ALPHAINFRA,EQ,107.1,107.63,106.34,106.87,106.87,108.41,578089,61824691.59,07-AUG-2024,3218,INE37018701011
ALPHAINFRA,EQ,111.42,113.54,108.61,110.73,110.73,106.87,144806,16067673.76,08-AUG-2024,811,INE37018701011
ALPHAINFRA,EQ,109.45,110.78,108.21,109.54,109.54,110.73,410520,44956045.2,09-AUG-2024,2287,INE37018701011
ALPHAINFRA,EQ,107.8,109.16,107.25,108.6,108.6,109.54,275707,29869177.36,12-AUG-2024,1538,INE37018701011
ALPHAINFRA,EQ,110.1,111.53,108.73,110.16,110.16,108.6,295426,32538219.64,13-AUG-2024,1648,INE37018701011
ALPHAINFRA,EQ,110.86,112.0,110.21,111.35,111.35,110.16,224184,24926271.68,14-AUG-2024,1252,INE37018701011
ALPHAINFRA,EQ,111.95,114.76,109.13,111.94,111.94,111.35,552420,61839736.2,15-AUG-2024,3076,INE37018701011
ALPHAINFRA,EQ,109.89,111.05,108.72,109.88,109.88,111.94,174339,19156950.45,16-AUG-2024,975,INE37018701011
ALPHAINFRA,EQ,110.01,110.98,109.14,110.11,110.11,109.88,212633,23405931.86,19-AUG-2024,1188,INE37018701011
ALPHAINFRA,EQ,108.57,110.46,106.55,108.44,108.44,110.11,404233,43852543.28,20-AUG-2024,2252,INE37018701011
ALPHAINFRA,EQ,107.03,107.9,106.73,107.61,107.61,108.44,322626,34654334.08,21-AUG-2024,1799,INE37018701011
ALPHAINFRA,EQ,105.9,106.52,105.59,106.21,106.21,107.61,578796,61414114.24,22-AUG-2024,3222,INE37018701011
ALPHAINFRA,EQ,106.76,107.26,106.45,106.95,106.95,106.21,110744,11837057.01,23-AUG-2024,622,INE37018701011
ALPHAINFRA,EQ,105.97,107.27,104.59,105.88,105.88,106.95,200839,21271527.95,26-AUG-2024,1122,INE37018701011
ALPHAINFRA,EQ,103.08,104.72,101.23,102.87,102.87,105.88,465515,47920114.1,27-AUG-2024,2593,INE37018701011
ALPHAINFRA,EQ,103.2,104.39,102.17,103.35,103.35,102.87,90912,9391512.64,28-AUG-2024,512,INE37018701011
ALPHAINFRA,EQ,103.6,105.52,102.19,104.1,104.1,103.35,309977,32217976.12,29-AUG-2024,1729,INE37018701011
ALPHAINFRA,EQ,102.82,104.88,100.93,102.99,102.99,104.1,351265,36156877.33,30-AUG-2024,1958,INE37018701011
ALPHAINFRA,EQ,103.94,105.07,103.03,104.16,104.16,102.99,247343,25745108.39,02-SEP-2024,1381,INE37018701011
ALPHAINFRA,EQ,106.25,106.5,105.46,105.71,105.71,104.16,332805,35240721.45,03-SEP-2024,1855,INE37018701011
ALPHAINFRA,EQ,104.98,105.45,104.35,104.83,104.83,105.71,243761,25564841.14,04-SEP-2024,1361,INE37018701011
ALPHAINFRA,EQ,106.05,107.31,104.89,106.15,106.15,104.83,159215,16895365.08,05-SEP-2024,891,INE37018701011
ALPHAINFRA,EQ,104.6,105.46,103.96,104.83,104.83,106.15,195107,20437458.25,06-SEP-2024,1090,INE37018701011
ALPHAINFRA,EQ,101.82,102.82,100.74,101.74,101.74,104.83,229678,23373564.47,09-SEP-2024,1282,INE37018701011
ALPHAINFRA,EQ,102.14,104.87,99.86,102.57,102.57,101.74,338172,34640085.2,10-SEP-2024,1885,INE37018701011
ALPHAINFRA,EQ,100.97,103.16,98.65,100.84,100.84,102.57,451458,45544587.9,11-SEP-2024,2515,INE37018701011
ALPHAINFRA,EQ,104.14,105.76,102.11,103.73,103.73,100.84,105202,10926981.07,12-SEP-2024,591,INE37018701011
ALPHAINFRA,EQ,101.01,101.42,100.8,101.21,101.21,103.73,192648,19485060.88,13-SEP-2024,1077,INE37018701011
ALPHAINFRA,EQ,102.71,103.9,101.29,102.48,102.48,101.21,94223,9663196.8,16-SEP-2024,530,INE37018701011
ALPHAINFRA,EQ,104.73,106.64,103.12,105.04,105.04,102.48,144531,15166119.6,17-SEP-2024,809,INE37018701011
ALPHAINFRA,EQ,105.55,107.72,103.43,105.61,105.61,105.04,234212,24729664.37,18-SEP-2024,1308,INE37018701011
ALPHAINFRA,EQ,106.72,107.37,106.2,106.85,106.85,105.61,159181,17001592.01,19-SEP-2024,891,INE37018701011
ALPHAINFRA,EQ,107.31,108.94,105.87,107.5,107.5,106.85,212870,22870043.23,20-SEP-2024,1189,INE37018701011
ALPHAINFRA,EQ,107.56,108.07,106.24,106.75,106.75,107.5,129988,13911315.76,23-SEP-2024,729,INE37018701011
ALPHAINFRA,EQ,105.15,106.55,103.24,104.64,104.64,106.75,240238,25179344.78,24-SEP-2024,1341,INE37018701011
ALPHAINFRA,EQ,104.15,106.01,102.09,103.94,103.94,104.64,178098,18524566.64,25-SEP-2024,996,INE37018701011
ALPHAINFRA,EQ,101.07,102.65,100.01,101.59,101.59,103.94,281948,28594226.33,26-SEP-2024,1573,INE37018701011
ALPHAINFRA,EQ,100.44,101.29,99.43,100.29,100.29,101.59,549087,55093559.29,27-SEP-2024,3057,INE37018701011
ALPHAINFRA,EQ,101.01,103.26,98.92,101.17,101.17,100.29,254742,25758661.9,30-SEP-2024,1422,INE37018701011
ALPHAINFRA,EQ,100.83,101.96,99.59,100.72,100.72,101.17,286672,28884115.15,01-OCT-2024,1599,INE37018701011
ALPHAINFRA,EQ,97.95,98.77,97.12,97.94,97.94,100.72,130839,12814807.79,02-OCT-2024,733,INE37018701011
ALPHAINFRA,EQ,94.23,94.84,93.19,93.79,93.79,97.94,256119,24059818.86,03-OCT-2024,1429,INE37018701011
ALPHAINFRA,EQ,95.76,96.78,94.7,95.72,95.72,93.79,153794,14723212.27,04-OCT-2024,861,INE37018701011
ALPHAINFRA,EQ,95.35,95.56,95.07,95.27,95.27,95.72,1006615,95930409.5,07-OCT-2024,5599,INE37018701011
ALPHAINFRA,EQ,96.19,96.9,95.6,96.31,96.31,95.27,287841,27710453.07,08-OCT-2024,1606,INE37018701011
ALPHAINFRA,EQ,94.36,95.83,93.1,94.57,94.57,96.31,257687,24351421.5,09-OCT-2024,1438,INE37018701011
ALPHAINFRA,EQ,92.99,94.1,91.08,92.18,92.18,94.57,301974,27918502.88,10-OCT-2024,1684,INE37018701011
ALPHAINFRA,EQ,91.67,93.32,89.79,91.44,91.44,92.18,260437,23834326.12,11-OCT-2024,1453,INE37018701011
ALPHAINFRA,EQ,92.38,93.85,91.06,92.53,92.53,91.44,239392,22138972.16,14-OCT-2024,1336,INE37018701011
ALPHAINFRA,EQ,90.97,93.65,88.77,91.43,91.43,92.53,291340,26594486.33,15-OCT-2024,1625,INE37018701011
ALPHAINFRA,EQ,89.6,89.79,89.3,89.5,89.5,91.43,124660,11160809.8,16-OCT-2024,699,INE37018701011
ALPHAINFRA,EQ,85.14,86.17,84.45,85.49,85.49,89.5,345402,29486968.74,17-OCT-2024,1925,INE37018701011
ALPHAINFRA,EQ,83.57,84.79,82.16,83.38,83.38,85.49,190517,15897373.54,18-OCT-2024,1065,INE37018701011
