order_id,date,symbol,side,order_type,quantity,limit_price,filled_quantity,avg_fill_price,status,venue
AD-100083,2024-11-08,BHARATCHEM,BUY,LIMIT,900,230.66,640,230.9225,PARTIAL,SIMBOOK
AD-100084,2024-11-08,DECCANMOT,SELL,LIMIT,450,481.9,345,481.0921,PARTIAL,SIMBOOK
AD-100085,2024-11-08,EASTPOWER,BUY,LIMIT,50,562.51,20,561.9605,PARTIAL,SIMBOOK
AD-100086,2024-11-11,BHARATCHEM,BUY,LIMIT,1050,232.55,805,232.8184,PARTIAL,SIMBOOK
AD-100087,2024-11-11,ALPHAINFRA,SELL,LIMIT,900,80.24,680,80.2753,PARTIAL,SIMBOOK
AD-100088,2024-11-12,ALPHAINFRA,SELL,LIMIT,950,78.9,700,78.9752,PARTIAL,SIMBOOK
AD-100089,2024-11-12,BHARATCHEM,SELL,LIMIT,150,238.65,145,238.4897,PARTIAL,SIMBOOK
AD-100090,2024-11-12,BHARATCHEM,BUY,LIMIT,600,240.93,365,241.2058,PARTIAL,SIMBOOK
AD-100091,2024-11-12,COASTBANK,BUY,LIMIT,650,264.93,565,264.7234,PARTIAL,SIMBOOK
AD-100092,2024-11-13,DECCANMOT,BUY,LIMIT,750,472.75,690,472.4524,PARTIAL,SIMBOOK
AD-100093,2024-11-13,EASTPOWER,SELL,LIMIT,1100,552.31,720,553.0107,PARTIAL,SIMBOOK
AD-100094,2024-11-13,COASTBANK,BUY,LIMIT,1000,272.36,910,272.9793,PARTIAL,SIMBOOK
AD-100095,2024-11-13,BHARATCHEM,SELL,LIMIT,1200,246.52,655,246.4657,PARTIAL,SIMBOOK
AD-100096,2024-11-14,DECCANMOT,SELL,LIMIT,200,470.18,130,469.7031,PARTIAL,SIMBOOK
AD-100097,2024-11-14,DECCANMOT,SELL,LIMIT,200,471.68,145,471.1546,PARTIAL,SIMBOOK
AD-100098,2024-11-14,ALPHAINFRA,BUY,LIMIT,1100,79.3,525,79.1533,PARTIAL,SIMBOOK
AD-100099,2024-11-15,COASTBANK,BUY,LIMIT,350,267.49,270,267.4716,PARTIAL,SIMBOOK
AD-100100,2024-11-15,ALPHAINFRA,SELL,LIMIT,200,80.42,145,80.1411,PARTIAL,SIMBOOK
AD-100101,2024-11-15,DECCANMOT,BUY,LIMIT,600,461.36,375,461.3071,PARTIAL,SIMBOOK
AD-100102,2024-11-15,BHARATCHEM,BUY,LIMIT,1150,236.05,655,235.5514,PARTIAL,SIMBOOK
AD-100103,2024-11-18,BHARATCHEM,SELL,LIMIT,400,238.43,280,238.7839,PARTIAL,SIMBOOK
AD-100104,2024-11-18,ALPHAINFRA,BUY,LIMIT,150,78.23,115,78.1312,PARTIAL,SIMBOOK
AD-100105,2024-11-18,BHARATCHEM,SELL,LIMIT,1200,237.06,1080,236.8619,PARTIAL,SIMBOOK
AD-100106,2024-11-18,ALPHAINFRA,SELL,LIMIT,800,78.44,705,78.5505,PARTIAL,SIMBOOK
AD-100107,2024-11-18,DECCANMOT,BUY,LIMIT,850,474.95,605,473.4776,PARTIAL,SIMBOOK
AD-100108,2024-11-19,EASTPOWER,BUY,LIMIT,300,586.32,210,587.5004,PARTIAL,SIMBOOK
AD-100109,2024-11-19,COASTBANK,BUY,LIMIT,700,260.5,485,260.8183,PARTIAL,SIMBOOK
AD-100110,2024-11-19,DECCANMOT,BUY,LIMIT,1050,450.65,1015,450.2658,PARTIAL,SIMBOOK
AD-100111,2024-11-19,COASTBANK,BUY,LIMIT,1100,258.84,1010,258.2845,PARTIAL,SIMBOOK
AD-100112,2024-11-19,BHARATCHEM,SELL,LIMIT,350,229.12,265,229.1687,PARTIAL,SIMBOOK
AD-100113,2024-11-20,DECCANMOT,SELL,LIMIT,450,445.46,265,445.9025,PARTIAL,SIMBOOK
AD-100114,2024-11-20,DECCANMOT,BUY,LIMIT,50,445.28,30,444.0163,PARTIAL,SIMBOOK
AD-100115,2024-11-20,ALPHAINFRA,BUY,LIMIT,1100,78.47,795,78.341,PARTIAL,SIMBOOK
AD-100116,2024-11-20,DECCANMOT,SELL,LIMIT,550,448.16,455,448.0665,PARTIAL,SIMBOOK
AD-100117,2024-11-21,EASTPOWER,BUY,LIMIT,750,561.21,430,560.6174,PARTIAL,SIMBOOK
AD-100118,2024-11-21,BHARATCHEM,BUY,LIMIT,650,239.34,580,239.3706,PARTIAL,SIMBOOK
AD-100119,2024-11-22,DECCANMOT,BUY,LIMIT,1000,451.58,980,450.9604,PARTIAL,SIMBOOK
AD-100120,2024-11-22,ALPHAINFRA,SELL,LIMIT,750,78.11,580,78.1227,PARTIAL,SIMBOOK
AD-100121,2024-11-22,ALPHAINFRA,BUY,LIMIT,850,78.37,525,78.3494,PARTIAL,SIMBOOK
AD-100122,2024-11-25,BHARATCHEM,SELL,LIMIT,350,231.99,290,232.2665,PARTIAL,SIMBOOK
AD-100123,2024-11-25,DECCANMOT,SELL,LIMIT,800,445.79,395,445.1232,PARTIAL,SIMBOOK
AD-100124,2024-11-25,DECCANMOT,SELL,LIMIT,800,441.6,550,440.9825,PARTIAL,SIMBOOK
AD-100125,2024-11-26,ALPHAINFRA,SELL,LIMIT,250,78.73,180,78.7493,PARTIAL,SIMBOOK
AD-100126,2024-11-26,DECCANMOT,SELL,LIMIT,600,450.2,440,450.4707,PARTIAL,SIMBOOK
AD-100127,2024-11-26,ALPHAINFRA,SELL,LIMIT,300,78.15,180,78.0526,PARTIAL,SIMBOOK
AD-100128,2024-11-26,ALPHAINFRA,SELL,LIMIT,500,77.7,460,77.4422,PARTIAL,SIMBOOK
AD-100129,2024-11-27,COASTBANK,BUY,LIMIT,200,259.04,100,258.3559,PARTIAL,SIMBOOK
AD-100130,2024-11-27,EASTPOWER,BUY,LIMIT,500,581.59,350,581.3402,PARTIAL,SIMBOOK
AD-100131,2024-11-27,EASTPOWER,SELL,LIMIT,500,579.08,335,578.5514,PARTIAL,SIMBOOK
AD-100132,2024-11-28,DECCANMOT,BUY,LIMIT,1200,436.48,1035,436.8408,PARTIAL,SIMBOOK
AD-100133,2024-11-28,COASTBANK,BUY,LIMIT,1050,262.17,830,261.7613,PARTIAL,SIMBOOK
AD-100134,2024-11-28,DECCANMOT,BUY,LIMIT,750,438.79,710,438.7344,PARTIAL,SIMBOOK
AD-100135,2024-11-28,COASTBANK,SELL,LIMIT,150,264.41,135,264.5536,PARTIAL,SIMBOOK
AD-100136,2024-11-28,EASTPOWER,BUY,LIMIT,200,599.23,180,598.5071,PARTIAL,SIMBOOK
AD-100137,2024-11-29,ALPHAINFRA,SELL,LIMIT,50,80.55,25,80.5129,PARTIAL,SIMBOOK
AD-100138,2024-11-29,EASTPOWER,BUY,LIMIT,1050,589.64,920,588.7774,PARTIAL,SIMBOOK
AD-100139,2024-11-29,DECCANMOT,BUY,LIMIT,750,412.93,385,413.4446,PARTIAL,SIMBOOK
AD-100140,2024-11-29,EASTPOWER,SELL,LIMIT,600,588.89,220,589.9943,PARTIAL,SIMBOOK
AD-100141,2024-12-02,EASTPOWER,SELL,LIMIT,100,596.88,75,596.4017,PARTIAL,SIMBOOK
AD-100142,2024-12-02,BHARATCHEM,BUY,LIMIT,50,236.86,30,236.8489,PARTIAL,SIMBOOK
AD-100143,2024-12-02,COASTBANK,BUY,LIMIT,650,268.33,355,268.6278,PARTIAL,SIMBOOK
AD-100144,2024-12-02,COASTBANK,SELL,LIMIT,1150,267.74,695,267.6074,PARTIAL,SIMBOOK
AD-100145,2024-12-02,EASTPOWER,SELL,LIMIT,50,594.64,45,594.855,PARTIAL,SIMBOOK
AD-100146,2024-12-03,EASTPOWER,BUY,LIMIT,850,608.28,460,608.3741,PARTIAL,SIMBOOK
AD-100147,2024-12-03,ALPHAINFRA,BUY,LIMIT,950,79.78,570,79.8643,PARTIAL,SIMBOOK
AD-100148,2024-12-03,COASTBANK,BUY,LIMIT,600,260.8,420,261.121,PARTIAL,SIMBOOK
AD-100149,2024-12-03,COASTBANK,BUY,LIMIT,200,260.15,100,260.4193,PARTIAL,SIMBOOK
AD-100150,2024-12-03,COASTBANK,SELL,LIMIT,750,259.9,355,260.4606,PARTIAL,SIMBOOK
AD-100151,2024-12-04,ALPHAINFRA,BUY,LIMIT,150,80.95,115,81.0545,PARTIAL,SIMBOOK
AD-100152,2024-12-04,COASTBANK,BUY,LIMIT,600,260.56,565,260.4467,PARTIAL,SIMBOOK
AD-100153,2024-12-04,DECCANMOT,SELL,LIMIT,200,410.35,170,410.9086,PARTIAL,SIMBOOK
AD-100154,2024-12-04,BHARATCHEM,SELL,LIMIT,200,232.24,155,232.2064,PARTIAL,SIMBOOK
AD-100155,2024-12-05,ALPHAINFRA,SELL,LIMIT,450,81.7,435,81.8645,PARTIAL,SIMBOOK
AD-100156,2024-12-05,EASTPOWER,BUY,LIMIT,250,590.64,215,591.2292,PARTIAL,SIMBOOK
AD-100157,2024-12-05,DECCANMOT,BUY,LIMIT,1150,435.4,1055,435.9552,PARTIAL,SIMBOOK
AD-100158,2024-12-06,COASTBANK,BUY,LIMIT,500,251.96,460,252.6235,PARTIAL,SIMBOOK
AD-100159,2024-12-06,DECCANMOT,BUY,LIMIT,250,428.16,80,428.2656,PARTIAL,SIMBOOK
AD-100160,2024-12-06,COASTBANK,SELL,LIMIT,850,254.09,780,254.301,PARTIAL,SIMBOOK
AD-100161,2024-12-06,BHARATCHEM,BUY,LIMIT,800,242.38,695,242.6174,PARTIAL,SIMBOOK
AD-100162,2024-12-06,DECCANMOT,SELL,LIMIT,500,428.67,375,427.7674,PARTIAL,SIMBOOK
AD-100163,2024-12-09,ALPHAINFRA,BUY,LIMIT,950,80.91,880,81.0703,PARTIAL,SIMBOOK
AD-100164,2024-12-09,COASTBANK,BUY,LIMIT,150,258.05,140,258.517,PARTIAL,SIMBOOK
AD-100165,2024-12-10,BHARATCHEM,SELL,LIMIT,900,245.13,865,244.9084,PARTIAL,SIMBOOK
AD-100166,2024-12-10,ALPHAINFRA,BUY,LIMIT,650,81.76,575,81.7875,PARTIAL,SIMBOOK
AD-100167,2024-12-11,EASTPOWER,BUY,LIMIT,850,551.64,775,551.5232,PARTIAL,SIMBOOK
AD-100168,2024-12-11,DECCANMOT,SELL,LIMIT,300,449.04,240,448.7229,PARTIAL,SIMBOOK
AD-100169,2024-12-11,COASTBANK,SELL,LIMIT,800,271.17,505,270.9239,PARTIAL,SIMBOOK
AD-100170,2024-12-11,ALPHAINFRA,BUY,LIMIT,550,81.73,250,81.6681,PARTIAL,SIMBOOK
AD-100171,2024-12-11,BHARATCHEM,BUY,LIMIT,1050,245.17,385,245.5448,PARTIAL,SIMBOOK
AD-100172,2024-12-12,BHARATCHEM,BUY,LIMIT,450,247.36,245,247.5772,PARTIAL,SIMBOOK
AD-100173,2024-12-12,ALPHAINFRA,BUY,LIMIT,1100,83.0,995,82.9822,PARTIAL,SIMBOOK
AD-100174,2024-12-13,COASTBANK,SELL,LIMIT,1200,267.18,1015,267.2462,PARTIAL,SIMBOOK
AD-100175,2024-12-13,EASTPOWER,BUY,LIMIT,1100,536.06,955,534.8084,PARTIAL,SIMBOOK
AD-100176,2024-12-13,BHARATCHEM,SELL,LIMIT,300,249.79,215,249.2437,PARTIAL,SIMBOOK
AD-100177,2024-12-13,COASTBANK,BUY,LIMIT,600,268.17,350,268.9241,PARTIAL,SIMBOOK
AD-100178,2024-12-16,DECCANMOT,SELL,LIMIT,800,458.54,685,458.8331,PARTIAL,SIMBOOK
AD-100179,2024-12-16,DECCANMOT,BUY,LIMIT,550,460.56,480,460.7929,PARTIAL,SIMBOOK
AD-100180,2024-12-16,COASTBANK,BUY,LIMIT,400,270.88,365,271.1284,PARTIAL,SIMBOOK
AD-100181,2024-12-16,ALPHAINFRA,BUY,LIMIT,700,85.18,575,85.2378,PARTIAL,SIMBOOK
AD-100182,2024-12-16,BHARATCHEM,SELL,LIMIT,1200,247.81,805,247.8407,PARTIAL,SIMBOOK
AD-100183,2024-12-17,COASTBANK,SELL,LIMIT,900,262.43,615,261.4761,PARTIAL,SIMBOOK
AD-100184,2024-12-17,DECCANMOT,BUY,LIMIT,700,472.88,425,473.1236,PARTIAL,SIMBOOK
AD-100185,2024-12-17,ALPHAINFRA,BUY,LIMIT,1200,85.24,800,85.3119,PARTIAL,SIMBOOK
AD-100186,2024-12-17,EASTPOWER,SELL,LIMIT,350,517.18,275,515.5852,PARTIAL,SIMBOOK
AD-100187,2024-12-17,DECCANMOT,BUY,LIMIT,1150,468.02,1010,468.373,PARTIAL,SIMBOOK
AD-100188,2024-12-18,EASTPOWER,BUY,LIMIT,850,505.24,570,504.5475,PARTIAL,SIMBOOK
AD-100189,2024-12-18,ALPHAINFRA,SELL,LIMIT,750,84.19,420,83.9831,PARTIAL,SIMBOOK
AD-100190,2024-12-18,ALPHAINFRA,SELL,LIMIT,1100,84.31,655,84.2057,PARTIAL,SIMBOOK
AD-100191,2024-12-19,BHARATCHEM,BUY,LIMIT,650,265.64,520,266.0535,PARTIAL,SIMBOOK
AD-100192,2024-12-19,COASTBANK,BUY,LIMIT,400,258.85,300,258.055,PARTIAL,SIMBOOK
AD-100193,2024-12-19,DECCANMOT,SELL,LIMIT,600,489.64,540,490.5988,PARTIAL,SIMBOOK
AD-100194,2024-12-20,DECCANMOT,SELL,LIMIT,900,496.03,565,497.1214,PARTIAL,SIMBOOK
AD-100195,2024-12-20,COASTBANK,BUY,LIMIT,300,261.71,275,262.015,PARTIAL,SIMBOOK
AD-100196,2024-12-23,DECCANMOT,SELL,LIMIT,350,503.9,290,504.1466,PARTIAL,SIMBOOK
AD-100197,2024-12-23,COASTBANK,SELL,LIMIT,500,268.03,360,267.7096,PARTIAL,SIMBOOK
AD-100198,2024-12-24,ALPHAINFRA,BUY,LIMIT,600,79.75,520,79.7795,PARTIAL,SIMBOOK
AD-100199,2024-12-24,DECCANMOT,BUY,LIMIT,1050,496.58,865,497.4576,PARTIAL,SIMBOOK
AD-100200,2024-12-25,BHARATCHEM,BUY,LIMIT,450,262.26,395,262.5256,PARTIAL,SIMBOOK
AD-100201,2024-12-25,EASTPOWER,BUY,LIMIT,800,492.85,650,492.4864,PARTIAL,SIMBOOK
AD-100202,2024-12-25,COASTBANK,BUY,LIMIT,550,280.28,520,281.0443,PARTIAL,SIMBOOK
AD-100203,2024-12-25,ALPHAINFRA,BUY,LIMIT,600,80.09,460,79.9376,PARTIAL,SIMBOOK
AD-100204,2024-12-25,ALPHAINFRA,SELL,LIMIT,650,79.76,385,79.7276,PARTIAL,SIMBOOK
AD-100205,2024-12-26,DECCANMOT,SELL,LIMIT,700,464.23,490,463.8769,PARTIAL,SIMBOOK
AD-100206,2024-12-26,BHARATCHEM,BUY,LIMIT,700,258.64,510,258.4861,PARTIAL,SIMBOOK
AD-100207,2024-12-26,ALPHAINFRA,SELL,LIMIT,450,80.09,390,80.108,PARTIAL,SIMBOOK
AD-100208,2024-12-27,ALPHAINFRA,BUY,LIMIT,800,83.3,685,83.2487,PARTIAL,SIMBOOK
AD-100209,2024-12-27,BHARATCHEM,BUY,LIMIT,550,255.25,480,255.7379,PARTIAL,SIMBOOK
AD-100210,2024-12-27,BHARATCHEM,BUY,LIMIT,50,256.27,35,255.2397,PARTIAL,SIMBOOK
